date,open,high,low,close,volume,average,barCount
2024-03-04 09:30:00-05:00,84.13,84.97,83.72,84.92,38389920.0,84.3109,16330
2024-03-04 09:40:00-05:00,84.9,85.39,84.84,84.86,22900900.0,85.1611,11524
2024-03-04 09:50:00-05:00,84.85,85.09,84.33,84.5,17570930.0,84.7659,8882
2024-03-04 10:00:00-05:00,84.5,85.05,84.23,85.0,14168870.0,84.713,6886
2024-03-04 10:10:00-05:00,84.96,85.21,84.72,85.04,10224690.0,85.0047,4674
2024-03-04 10:20:00-05:00,85.04,85.06,84.63,84.83,7753190.0,84.8374,3834
2024-03-04 10:30:00-05:00,84.81,85.5,84.8,85.44,12511120.0,85.2332,5935
2024-03-04 10:40:00-05:00,85.46,85.55,85.16,85.4,9363790.0,85.3784,5216
2024-03-04 10:50:00-05:00,85.4,85.52,85.17,85.36,7660420.0,85.3349,3899
2024-03-04 11:00:00-05:00,85.36,85.42,85.1,85.39,6043450.0,85.2851,3083
2024-03-04 11:10:00-05:00,85.41,85.49,85.23,85.33,5414830.0,85.3504,2734
2024-03-04 11:20:00-05:00,85.33,85.36,85.17,85.22,4177140.0,85.2721,2146
2024-03-04 11:30:00-05:00,85.23,85.28,84.91,85.2,7489880.0,85.0716,3341
2024-03-04 11:40:00-05:00,85.21,85.41,85.16,85.4,5267890.0,85.2905,2591
2024-03-04 11:50:00-05:00,85.4,85.49,85.29,85.33,4984190.0,85.3918,2357
2024-03-04 12:00:00-05:00,85.36,85.44,85.24,85.32,3355370.0,85.3528,1643
2024-03-04 12:10:00-05:00,85.35,85.85,85.3,85.81,9570640.0,85.6473,4380
2024-03-04 12:20:00-05:00,85.81,86.08,85.73,86.03,7838110.0,85.9376,3935
2024-03-04 12:30:00-05:00,86.05,86.22,85.8,85.88,7214930.0,86.0077,3480
2024-03-04 12:40:00-05:00,85.89,86.43,85.88,86.42,7288170.0,86.1859,3495
2024-03-04 12:50:00-05:00,86.41,86.7,86.3,86.57,9806950.0,86.4902,4662
2024-03-04 13:00:00-05:00,86.58,86.9,86.47,86.67,10233430.0,86.7103,4440
2024-03-04 13:10:00-05:00,86.68,86.99,86.59,86.85,7458740.0,86.7925,3536
2024-03-04 13:20:00-05:00,86.85,86.86,86.27,86.61,8807030.0,86.5574,3953
2024-03-04 13:30:00-05:00,86.63,86.76,86.45,86.52,5517160.0,86.6066,2674
2024-03-04 13:40:00-05:00,86.53,86.88,86.51,86.8,5538780.0,86.7275,2595
2024-03-04 13:50:00-05:00,86.82,87.05,86.66,86.95,7627890.0,86.9049,3508
2024-03-04 14:00:00-05:00,86.95,87.22,86.71,86.98,9767170.0,86.9776,4463
2024-03-04 14:10:00-05:00,86.98,87.31,86.87,87.29,7987840.0,87.0537,3756
2024-03-04 14:20:00-05:00,87.28,87.45,87.0,87.14,9849130.0,87.2457,4681
2024-03-04 14:30:00-05:00,87.14,87.7,87.11,87.57,10436240.0,87.4181,5055
2024-03-04 14:40:00-05:00,87.55,87.59,87.35,87.55,7914630.0,87.4736,3786
2024-03-04 14:50:00-05:00,87.55,87.56,87.2,87.2,6853120.0,87.3394,3542
2024-03-04 15:00:00-05:00,87.21,87.28,86.61,86.9,11054850.0,86.9536,5724
2024-03-04 15:10:00-05:00,86.87,87.19,86.86,87.08,8993340.0,87.0306,4381
2024-03-04 15:20:00-05:00,87.08,87.16,86.55,86.64,8524790.0,86.9515,4056
2024-03-04 15:30:00-05:00,86.62,86.83,86.0,86.47,14789690.0,86.3971,6732
2024-03-04 15:40:00-05:00,86.47,86.49,84.9,85.09,17694790.0,85.6621,8811
2024-03-04 15:50:00-05:00,85.11,85.48,84.8,85.25,21220890.0,85.1641,11161
2024-03-05 09:30:00-05:00,85.24,85.88,84.4,85.86,29491580.0,85.1463,11929
2024-03-05 09:40:00-05:00,85.87,86.1,84.77,85.2,18967780.0,85.5436,9387
2024-03-05 09:50:00-05:00,85.2,85.61,85.05,85.29,11805040.0,85.352,6261
2024-03-05 10:00:00-05:00,85.33,85.76,84.96,85.01,12062900.0,85.4332,6278
2024-03-05 10:10:00-05:00,84.99,85.34,84.31,84.36,13157210.0,84.8308,6305
2024-03-05 10:20:00-05:00,84.36,84.64,84.05,84.2,12868190.0,84.3981,6042
2024-03-05 10:30:00-05:00,84.2,84.2,83.52,83.73,16335090.0,83.8897,7902
2024-03-05 10:40:00-05:00,83.72,84.24,83.42,83.73,12980470.0,83.8093,6551
2024-03-05 10:50:00-05:00,83.73,84.44,83.72,84.41,8944340.0,84.161,4632
2024-03-05 11:00:00-05:00,84.43,84.73,84.29,84.45,9209640.0,84.5119,4963
2024-03-05 11:10:00-05:00,84.46,84.53,84.14,84.38,7769070.0,84.3537,3982
2024-03-05 11:20:00-05:00,84.38,84.79,84.36,84.69,7459910.0,84.6434,3985
2024-03-05 11:30:00-05:00,84.68,84.86,84.31,84.49,6461640.0,84.5888,3396
2024-03-05 11:40:00-05:00,84.48,84.72,84.32,84.67,6640180.0,84.5371,3077
2024-03-05 11:50:00-05:00,84.67,84.82,84.39,84.77,6452130.0,84.5897,3087
2024-03-05 12:00:00-05:00,84.77,85.04,84.76,84.98,7517230.0,84.9243,3934
2024-03-05 12:10:00-05:00,84.99,85.0,84.8,84.87,5504560.0,84.9336,2808
2024-03-05 12:20:00-05:00,84.85,85.32,84.67,85.31,9663710.0,85.0426,4444
2024-03-05 12:30:00-05:00,85.31,85.38,85.06,85.16,6476660.0,85.2243,2885
2024-03-05 12:40:00-05:00,85.16,85.39,85.1,85.2,4823490.0,85.2726,2572
2024-03-05 12:50:00-05:00,85.23,85.41,85.21,85.32,4569530.0,85.3298,2322
2024-03-05 13:00:00-05:00,85.32,85.34,84.93,85.09,5967740.0,85.1088,3043
2024-03-05 13:10:00-05:00,85.09,85.25,84.82,84.88,4948530.0,85.0403,2233
2024-03-05 13:20:00-05:00,84.87,84.96,84.6,84.81,6209130.0,84.7718,2845
2024-03-05 13:30:00-05:00,84.8,85.07,84.63,84.72,5903520.0,84.885,2816
2024-03-05 13:40:00-05:00,84.73,84.77,84.46,84.73,6559280.0,84.6277,3040
2024-03-05 13:50:00-05:00,84.73,84.85,84.57,84.65,4369150.0,84.7404,2174
2024-03-05 14:00:00-05:00,84.66,85.13,84.64,85.05,6604090.0,84.9118,2977
2024-03-05 14:10:00-05:00,85.07,85.18,84.85,84.95,5700110.0,85.0708,2916
2024-03-05 14:20:00-05:00,84.92,85.14,84.84,85.02,4465920.0,85.0152,2040
2024-03-05 14:30:00-05:00,85.03,85.07,84.6,84.72,5434280.0,84.7918,2753
2024-03-05 14:40:00-05:00,84.71,84.82,84.49,84.73,5762830.0,84.6467,2951
2024-03-05 14:50:00-05:00,84.77,84.96,84.71,84.95,4723010.0,84.8445,2356
2024-03-05 15:00:00-05:00,84.94,85.21,84.88,84.97,7615020.0,85.0566,3780
2024-03-05 15:10:00-05:00,84.98,85.1,84.78,84.92,5282450.0,84.944,2885
2024-03-05 15:20:00-05:00,84.93,84.96,84.65,84.74,5762110.0,84.7833,3085
2024-03-05 15:30:00-05:00,84.72,85.06,84.71,84.98,6811370.0,84.9202,3584
2024-03-05 15:40:00-05:00,84.99,85.51,84.89,85.46,10293330.0,85.2705,5604
2024-03-05 15:50:00-05:00,85.46,86.0,85.31,85.99,17434790.0,85.8001,9595
2024-03-06 09:30:00-05:00,88.02,88.32,87.41,87.97,31423610.0,87.8475,13775
2024-03-06 09:40:00-05:00,87.97,88.97,87.83,88.68,25779110.0,88.51,12769
2024-03-06 09:50:00-05:00,88.69,88.7,87.63,87.94,18616150.0,88.0704,9151
2024-03-06 10:00:00-05:00,87.96,88.05,87.03,87.18,20054920.0,87.5326,8897
2024-03-06 10:10:00-05:00,87.2,87.9,87.17,87.69,11866970.0,87.6232,5711
2024-03-06 10:20:00-05:00,87.69,88.34,87.66,88.27,13209140.0,88.0189,6348
2024-03-06 10:30:00-05:00,88.28,88.64,88.03,88.38,12169850.0,88.3721,5719
2024-03-06 10:40:00-05:00,88.39,88.6,88.0,88.57,9830780.0,88.2826,4676
2024-03-06 10:50:00-05:00,88.57,88.67,88.22,88.28,8795020.0,88.4212,4208
2024-03-06 11:00:00-05:00,88.28,88.78,88.26,88.64,8189680.0,88.5115,3911
2024-03-06 11:10:00-05:00,88.65,88.78,88.46,88.58,6178870.0,88.6396,3009
2024-03-06 11:20:00-05:00,88.56,88.6,88.29,88.39,5531930.0,88.422,2488
2024-03-06 11:30:00-05:00,88.39,88.41,87.87,88.34,10261090.0,88.149,4769
2024-03-06 11:40:00-05:00,88.33,88.46,88.24,88.37,4405200.0,88.3787,1950
2024-03-06 11:50:00-05:00,88.38,88.6,88.33,88.46,6197910.0,88.4933,2932
2024-03-06 12:00:00-05:00,88.45,88.7,88.45,88.65,4819330.0,88.6221,2320
2024-03-06 12:10:00-05:00,88.66,88.8,88.54,88.64,5357380.0,88.6937,2551
2024-03-06 12:20:00-05:00,88.65,88.89,88.6,88.78,6101500.0,88.7476,2745
2024-03-06 12:30:00-05:00,88.8,88.99,88.71,88.8,7937660.0,88.864,3730
2024-03-06 12:40:00-05:00,88.81,88.84,88.51,88.7,5743580.0,88.7089,2699
2024-03-06 12:50:00-05:00,88.71,88.88,88.7,88.77,4059150.0,88.7871,2033
2024-03-06 13:00:00-05:00,88.78,88.9,88.75,88.83,3524860.0,88.8212,1783
2024-03-06 13:10:00-05:00,88.84,89.44,88.81,89.27,11279730.0,89.1979,5542
2024-03-06 13:20:00-05:00,89.26,89.72,89.2,89.45,11716850.0,89.5126,5732
2024-03-06 13:30:00-05:00,89.46,89.6,88.67,89.26,14035030.0,89.119,6496
2024-03-06 13:40:00-05:00,89.26,89.44,88.68,88.77,9105050.0,89.1069,4113
2024-03-06 13:50:00-05:00,88.75,89.18,88.44,89.07,9721610.0,88.8498,4457
2024-03-06 14:00:00-05:00,89.07,89.32,88.84,89.17,7723420.0,89.1039,3475
2024-03-06 14:10:00-05:00,89.18,89.5,88.73,89.14,9962940.0,89.1415,4386
2024-03-06 14:20:00-05:00,89.12,89.37,89.09,89.29,5474170.0,89.2479,2582
2024-03-06 14:30:00-05:00,89.3,89.41,88.86,89.09,7021180.0,89.0789,3020
2024-03-06 14:40:00-05:00,89.09,89.24,88.75,88.83,6210990.0,88.9952,2978
2024-03-06 14:50:00-05:00,88.82,88.98,88.47,88.65,6955680.0,88.7416,3235
2024-03-06 15:00:00-05:00,88.64,88.9,88.49,88.8,6730170.0,88.7186,3202
2024-03-06 15:10:00-05:00,88.78,88.88,88.31,88.52,7151230.0,88.608,3565
2024-03-06 15:20:00-05:00,88.53,88.57,88.05,88.3,9318360.0,88.2429,4517
2024-03-06 15:30:00-05:00,88.32,88.35,87.64,88.15,12030380.0,87.9867,5953
2024-03-06 15:40:00-05:00,88.15,88.54,88.06,88.51,10649040.0,88.2866,5731
2024-03-06 15:50:00-05:00,88.48,88.75,88.27,88.75,14818810.0,88.5446,8416
2024-03-07 09:30:00-05:00,90.16,91.0,89.6,90.55,36976060.0,90.2965,16286
2024-03-07 09:40:00-05:00,90.56,90.84,89.84,90.47,21303970.0,90.3818,11080
2024-03-07 09:50:00-05:00,90.47,90.93,90.43,90.47,17664680.0,90.7109,8690
2024-03-07 10:00:00-05:00,90.47,90.74,90.44,90.65,10184400.0,90.5985,4966
2024-03-07 10:10:00-05:00,90.62,91.27,90.58,91.16,18150600.0,90.9803,8943
2024-03-07 10:20:00-05:00,91.16,91.6,91.16,91.55,14664800.0,91.3771,7309
2024-03-07 10:30:00-05:00,91.57,91.68,91.16,91.63,13127120.0,91.3834,6166
2024-03-07 10:40:00-05:00,91.64,91.99,91.56,91.9,15090190.0,91.8344,7106
2024-03-07 10:50:00-05:00,91.87,91.9,91.53,91.71,9423300.0,91.7197,4350
2024-03-07 11:00:00-05:00,91.73,91.88,91.6,91.73,6692790.0,91.737,3106
2024-03-07 11:10:00-05:00,91.72,92.0,91.58,91.74,8308300.0,91.8082,3844
2024-03-07 11:20:00-05:00,91.75,92.28,91.62,92.14,11960860.0,91.979,5694
2024-03-07 11:30:00-05:00,92.15,92.16,91.6,91.71,8899070.0,91.8383,4210
2024-03-07 11:40:00-05:00,91.71,91.88,91.55,91.71,7479110.0,91.7188,3398
2024-03-07 11:50:00-05:00,91.69,91.98,91.63,91.81,6689350.0,91.8203,3274
2024-03-07 12:00:00-05:00,91.81,91.86,91.59,91.79,4819680.0,91.7199,2501
2024-03-07 12:10:00-05:00,91.77,92.0,91.75,91.94,5675770.0,91.8892,2773
2024-03-07 12:20:00-05:00,91.95,92.1,91.7,91.71,6281230.0,91.907,3006
2024-03-07 12:30:00-05:00,91.7,91.74,91.46,91.56,8233750.0,91.6142,4148
2024-03-07 12:40:00-05:00,91.55,91.85,91.31,91.79,8317910.0,91.6163,3781
2024-03-07 12:50:00-05:00,91.79,91.95,91.73,91.89,4362550.0,91.8619,2073
2024-03-07 13:00:00-05:00,91.88,91.97,91.78,91.95,4365060.0,91.8918,2069
2024-03-07 13:10:00-05:00,91.95,91.98,91.81,91.84,3373220.0,91.908,1762
2024-03-07 13:20:00-05:00,91.86,91.88,91.74,91.87,3302350.0,91.8118,1762
2024-03-07 13:30:00-05:00,91.88,91.94,91.81,91.89,3149700.0,91.8858,1815
2024-03-07 13:40:00-05:00,91.88,91.92,91.76,91.8,3054270.0,91.846,1532
2024-03-07 13:50:00-05:00,91.8,91.98,91.8,91.93,4159800.0,91.9147,1908
2024-03-07 14:00:00-05:00,91.94,92.3,91.73,92.18,12100160.0,92.0877,4886
2024-03-07 14:10:00-05:00,92.17,92.45,92.16,92.4,8406850.0,92.3534,4333
2024-03-07 14:20:00-05:00,92.4,92.5,92.28,92.37,7711420.0,92.4115,4086
2024-03-07 14:30:00-05:00,92.39,92.5,92.11,92.2,6671290.0,92.3195,3299
2024-03-07 14:40:00-05:00,92.22,92.5,92.17,92.42,6082020.0,92.3361,2830
2024-03-07 14:50:00-05:00,92.42,92.48,91.95,92.02,7044350.0,92.2429,3689
2024-03-07 15:00:00-05:00,92.02,92.2,91.65,92.11,11238980.0,91.9684,4995
2024-03-07 15:10:00-05:00,92.11,92.2,91.9,92.11,6598140.0,92.049,3157
2024-03-07 15:20:00-05:00,92.12,92.29,91.94,92.21,7201970.0,92.1209,3442
2024-03-07 15:30:00-05:00,92.21,92.38,92.17,92.34,6479100.0,92.2857,3267
2024-03-07 15:40:00-05:00,92.34,92.5,92.14,92.25,11070370.0,92.3428,5562
2024-03-07 15:50:00-05:00,92.25,92.77,92.25,92.67,18599600.0,92.5679,10604
2024-03-08 09:30:00-05:00,95.07,95.89,94.62,95.49,36670400.0,95.3174,17063
2024-03-08 09:40:00-05:00,95.51,95.88,94.9,95.65,22083340.0,95.4797,11682
2024-03-08 09:50:00-05:00,95.69,95.89,95.33,95.71,15824930.0,95.6487,7882
2024-03-08 10:00:00-05:00,95.7,96.86,95.51,96.75,21096650.0,96.1533,10119
2024-03-08 10:10:00-05:00,96.76,96.83,96.3,96.39,15429240.0,96.5601,7554
2024-03-08 10:20:00-05:00,96.41,97.21,96.38,97.21,14585630.0,96.7472,7011
2024-03-08 10:30:00-05:00,97.22,97.4,95.65,95.86,22964550.0,96.5983,11650
2024-03-08 10:40:00-05:00,95.88,96.53,95.24,95.66,21897730.0,96.0405,11578
2024-03-08 10:50:00-05:00,95.64,95.9,95.0,95.4,15084890.0,95.5139,6791
2024-03-08 11:00:00-05:00,95.38,95.48,92.02,92.15,39100730.0,93.7776,19142
2024-03-08 11:10:00-05:00,92.15,93.54,91.11,91.6,34932340.0,92.3946,18081
2024-03-08 11:20:00-05:00,91.6,92.2,90.16,90.5,30133180.0,91.217,15020
2024-03-08 11:30:00-05:00,90.5,90.86,88.06,90.74,42643010.0,89.6228,23166
2024-03-08 11:40:00-05:00,90.76,91.46,89.35,90.05,29445020.0,90.6835,15271
2024-03-08 11:50:00-05:00,90.07,90.4,89.16,89.22,18387440.0,89.8131,9323
2024-03-08 12:00:00-05:00,89.26,89.99,88.32,88.75,18179710.0,89.2912,8973
